stateName,vehicleType,pollutant (g/mi),,EF_2023
NEBRASKA,"School Bus, Diesel",CO,,0.644
NEVADA,"School Bus, Diesel",CO,,0.706
NEW HAMPSHIRE,"School Bus, Diesel",CO,,0.668
NEW JERSEY,"School Bus, Diesel",CO,,0.734
NEW MEXICO,"School Bus, Diesel",CO,,0.654
NEW YORK,"School Bus, Diesel",CO,,0.705
NORTH CAROLINA,"School Bus, Diesel",CO,,0.685
NORTH DAKOTA,"School Bus, Diesel",CO,,0.633
OHIO,"School Bus, Diesel",CO,,0.684
OKLAHOMA,"School Bus, Diesel",CO,,0.656
OREGON,"School Bus, Diesel",CO,,0.679
PENNSYLVANIA,"School Bus, Diesel",CO,,0.683
RHODE ISLAND,"School Bus, Diesel",CO,,0.719
SOUTH CAROLINA,"School Bus, Diesel",CO,,0.669
SOUTH DAKOTA,"School Bus, Diesel",CO,,0.624
TENNESSEE,"School Bus, Diesel",CO,,0.685
TEXAS,"School Bus, Diesel",CO,,0.691
UTAH,"School Bus, Diesel",CO,,0.686
VERMONT,"School Bus, Diesel",CO,,0.628
VIRGINIA,"School Bus, Diesel",CO,,0.676
WASHINGTON,"School Bus, Diesel",CO,,0.685
WEST VIRGINIA,"School Bus, Diesel",CO,,0.652
WISCONSIN,"School Bus, Diesel",CO,,0.657
WYOMING,"School Bus, Diesel",CO,,0.626
ALABAMA,"School Bus, Gasoline",CO,,7.395
ALASKA,"School Bus, Gasoline",CO,,7.839
ARIZONA,"School Bus, Gasoline",CO,,7.186
ARKANSAS,"School Bus, Gasoline",CO,,7.672
CALIFORNIA,"School Bus, Gasoline",CO,,6.677
COLORADO,"School Bus, Gasoline",CO,,7.421
CONNECTICUT,"School Bus, Gasoline",CO,,7.007
DELAWARE,"School Bus, Gasoline",CO,,6.720
DISTRICT OF COLUMBIA,"School Bus, Gasoline",CO,,5.707
FLORIDA,"School Bus, Gasoline",CO,,7.087
GEORGIA,"School Bus, Gasoline",CO,,7.331
HAWAII,"School Bus, Gasoline",CO,,7.191
IDAHO,"School Bus, Gasoline",CO,,7.693
ILLINOIS,"School Bus, Gasoline",CO,,7.156
INDIANA,"School Bus, Gasoline",CO,,7.558
IOWA,"School Bus, Gasoline",CO,,7.715
KANSAS,"School Bus, Gasoline",CO,,7.895
KENTUCKY,"School Bus, Gasoline",CO,,7.947
LOUISIANA,"School Bus, Gasoline",CO,,7.552
MAINE,"School Bus, Gasoline",CO,,7.379
MARYLAND,"School Bus, Gasoline",CO,,7.015
MASSACHUSETTS,"School Bus, Gasoline",CO,,6.780
MICHIGAN,"School Bus, Gasoline",CO,,7.439
MINNESOTA,"School Bus, Gasoline",CO,,7.452
MISSISSIPPI,"School Bus, Gasoline",CO,,7.487
MISSOURI,"School Bus, Gasoline",CO,,8.013
MONTANA,"School Bus, Gasoline",CO,,7.791
NEBRASKA,"School Bus, Gasoline",CO,,7.998
NEVADA,"School Bus, Gasoline",CO,,7.748
NEW HAMPSHIRE,"School Bus, Gasoline",CO,,7.234
NEW JERSEY,"School Bus, Gasoline",CO,,6.831
NEW MEXICO,"School Bus, Gasoline",CO,,7.867
NEW YORK,"School Bus, Gasoline",CO,,7.196
NORTH CAROLINA,"School Bus, Gasoline",CO,,7.426
NORTH DAKOTA,"School Bus, Gasoline",CO,,7.723
OHIO,"School Bus, Gasoline",CO,,7.668
OKLAHOMA,"School Bus, Gasoline",CO,,7.657
OREGON,"School Bus, Gasoline",CO,,7.340
PENNSYLVANIA,"School Bus, Gasoline",CO,,7.576
RHODE ISLAND,"School Bus, Gasoline",CO,,6.973
SOUTH CAROLINA,"School Bus, Gasoline",CO,,7.608
SOUTH DAKOTA,"School Bus, Gasoline",CO,,8.152
TENNESSEE,"School Bus, Gasoline",CO,,7.594
TEXAS,"School Bus, Gasoline",CO,,7.080
UTAH,"School Bus, Gasoline",CO,,7.554
VERMONT,"School Bus, Gasoline",CO,,7.783
VIRGINIA,"School Bus, Gasoline",CO,,7.413
WASHINGTON,"School Bus, Gasoline",CO,,7.530
WEST VIRGINIA,"School Bus, Gasoline",CO,,7.690
WISCONSIN,"School Bus, Gasoline",CO,,7.448
WYOMING,"School Bus, Gasoline",CO,,8.092
ALABAMA,"Single Unit Long-haul Truck, Diesel",CO,,0.784
ALASKA,"Single Unit Long-haul Truck, Diesel",CO,,0.785
ARIZONA,"Single Unit Long-haul Truck, Diesel",CO,,0.809
ARKANSAS,"Single Unit Long-haul Truck, Diesel",CO,,0.761
CALIFORNIA,"Single Unit Long-haul Truck, Diesel",CO,,0.804
COLORADO,"Single Unit Long-haul Truck, Diesel",CO,,0.787
CONNECTICUT,"Single Unit Long-haul Truck, Diesel",CO,,0.811
DELAWARE,"Single Unit Long-haul Truck, Diesel",CO,,0.823
DISTRICT OF COLUMBIA,"Single Unit Long-haul Truck, Diesel",CO,,0.981
FLORIDA,"Single Unit Long-haul Truck, Diesel",CO,,0.845
GEORGIA,"Single Unit Long-haul Truck, Diesel",CO,,0.803
HAWAII,"Single Unit Long-haul Truck, Diesel",CO,,0.840
IDAHO,"Single Unit Long-haul Truck, Diesel",CO,,0.754
ILLINOIS,"Single Unit Long-haul Truck, Diesel",CO,,0.811
INDIANA,"Single Unit Long-haul Truck, Diesel",CO,,0.786
IOWA,"Single Unit Long-haul Truck, Diesel",CO,,0.748
KANSAS,"Single Unit Long-haul Truck, Diesel",CO,,0.752
KENTUCKY,"Single Unit Long-haul Truck, Diesel",CO,,0.750
LOUISIANA,"Single Unit Long-haul Truck, Diesel",CO,,0.784
MAINE,"Single Unit Long-haul Truck, Diesel",CO,,0.735
MARYLAND,"Single Unit Long-haul Truck, Diesel",CO,,0.809
MASSACHUSETTS,"Single Unit Long-haul Truck, Diesel",CO,,0.845
MICHIGAN,"Single Unit Long-haul Truck, Diesel",CO,,0.795
MINNESOTA,"Single Unit Long-haul Truck, Diesel",CO,,0.768
MISSISSIPPI,"Single Unit Long-haul Truck, Diesel",CO,,0.753
MISSOURI,"Single Unit Long-haul Truck, Diesel",CO,,0.742
MONTANA,"Single Unit Long-haul Truck, Diesel",CO,,0.728
NEBRASKA,"Single Unit Long-haul Truck, Diesel",CO,,0.744
NEVADA,"Single Unit Long-haul Truck, Diesel",CO,,0.815
NEW HAMPSHIRE,"Single Unit Long-haul Truck, Diesel",CO,,0.767
NEW JERSEY,"Single Unit Long-haul Truck, Diesel",CO,,0.838
NEW MEXICO,"Single Unit Long-haul Truck, Diesel",CO,,0.757
NEW YORK,"Single Unit Long-haul Truck, Diesel",CO,,0.808
NORTH CAROLINA,"Single Unit Long-haul Truck, Diesel",CO,,0.789
NORTH DAKOTA,"Single Unit Long-haul Truck, Diesel",CO,,0.732
OHIO,"Single Unit Long-haul Truck, Diesel",CO,,0.785
OKLAHOMA,"Single Unit Long-haul Truck, Diesel",CO,,0.755
OREGON,"Single Unit Long-haul Truck, Diesel",CO,,0.785
PENNSYLVANIA,"Single Unit Long-haul Truck, Diesel",CO,,0.787
RHODE ISLAND,"Single Unit Long-haul Truck, Diesel",CO,,0.821
SOUTH CAROLINA,"Single Unit Long-haul Truck, Diesel",CO,,0.774
SOUTH DAKOTA,"Single Unit Long-haul Truck, Diesel",CO,,0.720
