Fuel,On-Road Application,Torque (lb-ft),Pollutant,Multiplier
B20,Transit Bus,,PM10 (TBW),1
B20,Transit Bus,,PM2.5,1
B20,Transit Bus,,PM2.5 (TBW),1
B20,Transit Bus,,VOC,1
B20,Transit Bus,,VOC (Evap),1
B100,Combination Long-haul Truck,,CO,1
B100,Combination Long-haul Truck,,NOx,1
B100,Combination Long-haul Truck,,PM10,1
B100,Combination Long-haul Truck,,PM10 (TBW),1
B100,Combination Long-haul Truck,,PM2.5,1
B100,Combination Long-haul Truck,,PM2.5 (TBW),1
B100,Combination Long-haul Truck,,VOC,1
B100,Combination Long-haul Truck,,VOC (Evap),1
B100,Combination Short-haul Truck,,CO,1
B100,Combination Short-haul Truck,,NOx,1
B100,Combination Short-haul Truck,,PM10,1
B100,Combination Short-haul Truck,,PM10 (TBW),1
B100,Combination Short-haul Truck,,PM2.5,1
B100,Combination Short-haul Truck,,PM2.5 (TBW),1
B100,Combination Short-haul Truck,,VOC,1
B100,Combination Short-haul Truck,,VOC (Evap),1
B100,Light Commercial Truck,,CO,1
B100,Light Commercial Truck,,NOx,1
B100,Light Commercial Truck,,PM10,1
B100,Light Commercial Truck,,PM10 (TBW),1
B100,Light Commercial Truck,,PM2.5,1
B100,Light Commercial Truck,,PM2.5 (TBW),1
B100,Light Commercial Truck,,VOC,1
B100,Light Commercial Truck,,VOC (Evap),1
B100,Passenger Car,N/A,CO,1
B100,Passenger Car,N/A,NOx,1
B100,Passenger Car,N/A,PM10,1
B100,Passenger Car,N/A,PM10 (TBW),1
B100,Passenger Car,N/A,PM2.5,1
B100,Passenger Car,N/A,PM2.5 (TBW),1
B100,Passenger Car,N/A,VOC,1
B100,Passenger Car,N/A,VOC (Evap),1
B100,Passenger Truck,N/A,CO,1
B100,Passenger Truck,N/A,NOx,1
B100,Passenger Truck,N/A,PM10,1
B100,Passenger Truck,N/A,PM10 (TBW),1
B100,Passenger Truck,N/A,PM2.5,1
B100,Passenger Truck,N/A,PM2.5 (TBW),1
B100,Passenger Truck,N/A,VOC,1
B100,Passenger Truck,N/A,VOC (Evap),1
B100,Refuse Truck,,CO,1
B100,Refuse Truck,,NOx,1
B100,Refuse Truck,,PM10,1
B100,Refuse Truck,,PM10 (TBW),1
B100,Refuse Truck,,PM2.5,1
B100,Refuse Truck,,PM2.5 (TBW),1
B100,Refuse Truck,,VOC,1
B100,Refuse Truck,,VOC (Evap),1
B100,School Bus,,CO,1
B100,School Bus,,NOx,1
B100,School Bus,,PM10,1
B100,School Bus,,PM10 (TBW),1
B100,School Bus,,PM2.5,1
B100,School Bus,,PM2.5 (TBW),1
B100,School Bus,,VOC,1
B100,School Bus,,VOC (Evap),1
B100,Single Unit Long-haul Truck,,CO,1
B100,Single Unit Long-haul Truck,,NOx,1
B100,Single Unit Long-haul Truck,,PM10,1
B100,Single Unit Long-haul Truck,,PM10 (TBW),1
B100,Single Unit Long-haul Truck,,PM2.5,1
B100,Single Unit Long-haul Truck,,PM2.5 (TBW),1
B100,Single Unit Long-haul Truck,,VOC,1
B100,Single Unit Long-haul Truck,,VOC (Evap),1
B100,Single Unit Short-haul Truck,,CO,1
B100,Single Unit Short-haul Truck,,NOx,1
B100,Single Unit Short-haul Truck,,PM10,1
B100,Single Unit Short-haul Truck,,PM10 (TBW),1
B100,Single Unit Short-haul Truck,,PM2.5,1
B100,Single Unit Short-haul Truck,,PM2.5 (TBW),1
B100,Single Unit Short-haul Truck,,VOC,1
B100,Single Unit Short-haul Truck,,VOC (Evap),1
B100,Transit Bus,,CO,1
B100,Transit Bus,,NOx,1
B100,Transit Bus,,PM10,1
B100,Transit Bus,,PM10 (TBW),1
B100,Transit Bus,,PM2.5,1
B100,Transit Bus,,PM2.5 (TBW),1
B100,Transit Bus,,VOC,1
B100,Transit Bus,,VOC (Evap),1
RD20,Combination Long-haul Truck,,CO,1
RD20,Combination Long-haul Truck,,NOx,1
RD20,Combination Long-haul Truck,,PM10,1
RD20,Combination Long-haul Truck,,PM10 (TBW),1
RD20,Combination Long-haul Truck,,PM2.5,1
RD20,Combination Long-haul Truck,,PM2.5 (TBW),1
RD20,Combination Long-haul Truck,,VOC,1
RD20,Combination Long-haul Truck,,VOC (Evap),1
RD20,Combination Short-haul Truck,,CO,1
RD20,Combination Short-haul Truck,,NOx,1
RD20,Combination Short-haul Truck,,PM10,1
RD20,Combination Short-haul Truck,,PM10 (TBW),1
RD20,Combination Short-haul Truck,,PM2.5,1
RD20,Combination Short-haul Truck,,PM2.5 (TBW),1
RD20,Combination Short-haul Truck,,VOC,1
RD20,Combination Short-haul Truck,,VOC (Evap),1
RD20,Light Commercial Truck,,CO,1
RD20,Light Commercial Truck,,NOx,1
RD20,Light Commercial Truck,,PM10,1
RD20,Light Commercial Truck,,PM10 (TBW),1
RD20,Light Commercial Truck,,PM2.5,1
RD20,Light Commercial Truck,,PM2.5 (TBW),1
RD20,Light Commercial Truck,,VOC,1
RD20,Light Commercial Truck,,VOC (Evap),1
RD20,Passenger Car,N/A,CO,1
RD20,Passenger Car,N/A,NOx,1
RD20,Passenger Car,N/A,PM10,1
RD20,Passenger Car,N/A,PM10 (TBW),1
RD20,Passenger Car,N/A,PM2.5,1
RD20,Passenger Car,N/A,PM2.5 (TBW),1
RD20,Passenger Car,N/A,VOC,1
RD20,Passenger Car,N/A,VOC (Evap),1
RD20,Passenger Truck,N/A,CO,1
RD20,Passenger Truck,N/A,NOx,1
RD20,Passenger Truck,N/A,PM10,1
RD20,Passenger Truck,N/A,PM10 (TBW),1
RD20,Passenger Truck,N/A,PM2.5,1
RD20,Passenger Truck,N/A,PM2.5 (TBW),1
RD20,Passenger Truck,N/A,VOC,1
RD20,Passenger Truck,N/A,VOC (Evap),1
RD20,Refuse Truck,,CO,1
RD20,Refuse Truck,,NOx,1
RD20,Refuse Truck,,PM10,1
RD20,Refuse Truck,,PM10 (TBW),1
RD20,Refuse Truck,,PM2.5,1
RD20,Refuse Truck,,PM2.5 (TBW),1
RD20,Refuse Truck,,VOC,1
RD20,Refuse Truck,,VOC (Evap),1
RD20,School Bus,,CO,1
RD20,School Bus,,NOx,1
RD20,School Bus,,PM10,1
RD20,School Bus,,PM10 (TBW),1
RD20,School Bus,,PM2.5,1
RD20,School Bus,,PM2.5 (TBW),1
RD20,School Bus,,VOC,1
RD20,School Bus,,VOC (Evap),1
RD20,Single Unit Long-haul Truck,,CO,1
RD20,Single Unit Long-haul Truck,,NOx,1
RD20,Single Unit Long-haul Truck,,PM10,1
RD20,Single Unit Long-haul Truck,,PM10 (TBW),1
RD20,Single Unit Long-haul Truck,,PM2.5,1
RD20,Single Unit Long-haul Truck,,PM2.5 (TBW),1
RD20,Single Unit Long-haul Truck,,VOC,1
RD20,Single Unit Long-haul Truck,,VOC (Evap),1
RD20,Single Unit Short-haul Truck,,CO,1
RD20,Single Unit Short-haul Truck,,NOx,1
RD20,Single Unit Short-haul Truck,,PM10,1
RD20,Single Unit Short-haul Truck,,PM10 (TBW),1
RD20,Single Unit Short-haul Truck,,PM2.5,1
RD20,Single Unit Short-haul Truck,,PM2.5 (TBW),1
RD20,Single Unit Short-haul Truck,,VOC,1
RD20,Single Unit Short-haul Truck,,VOC (Evap),1
RD20,Transit Bus,,CO,1
RD20,Transit Bus,,NOx,1
RD20,Transit Bus,,PM10,1
RD20,Transit Bus,,PM10 (TBW),1
RD20,Transit Bus,,PM2.5,1
RD20,Transit Bus,,PM2.5 (TBW),1
RD20,Transit Bus,,VOC,1
RD20,Transit Bus,,VOC (Evap),1
RD100,Combination Long-haul Truck,,CO,1
RD100,Combination Long-haul Truck,,NOx,1
RD100,Combination Long-haul Truck,,PM10,1
RD100,Combination Long-haul Truck,,PM10 (TBW),1
RD100,Combination Long-haul Truck,,PM2.5,1
